sep=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.9621,0.213,12.2757,-0.2933,0.4323,9.7927,-1.3972,0.3971,2.2016,0.0871,0.6115,0.1459,120,33.94,28.37,-23.1,310.28,-1.81,0.29,2,44.57,12.925905,77.6864,0,2907.03340894625,0,80.57097,0,0 / 0,32,2018-08-07 18:41:42:677
-3.6963,-1.4665,14.0103,-1.7176,-0.6471,9.6334,-0.4436,1.4568,-2.2377,-1.45,-0.458,0.1534,120,42.01,23.61,-12.6,300.07,3.78,10.11,2,50.516,12.925905,77.6864,0,2907.03340894625,0,80.57097,0,0 / 0,532,2018-08-07 18:41:43:177
-1.2722,0.1149,8.5156,-1.9427,0.8748,9.5724,1.4521,0.1634,-3.8943,0.1692,-0.7339,-0.554,120,43,14.97,-13.65,293.66,-4.96,13.07,2,48.751,12.925905,77.6864,0,2907.03340894625,0,80.57097,0,0 / 0,1032,2018-08-07 18:41:43:677
-0.1445,-0.8177,8.2307,-0.1893,0.0395,9.8047,-1.5043,-0.9828,-2.3829,0.0136,-0.4208,-0.1151,120,33.11,23.23,-19.64,305.57,-0.3,1.9,2,60.441,12.925905,77.6864,0,2907.03340894625,0,80.57097,0,0 / 0,1532,2018-08-07 18:41:44:177
-3.9549,2.9604,5.1362,-0.237,-0.0434,9.8037,-1.9023,2.4003,-1.2,0.3801,-1.126,-0.0352,120,17.56,35.9,-20.5,334.93,1.34,3.74,2,58.204,12.925905,77.6864,0,2907.03340894625,0,80.57097,0,0 / 0,2032,2018-08-07 18:41:44:677
-3.0726,-0.9805,9.6827,-0.9837,1.4032,9.6558,0.4525,-2.5354,-1.5703,0.3769,0.9577,0.7446,120,37.4,11.84,-18.69,293.43,-8.23,5.82,2,68.975,12.925905,77.6864,0,2907.03340894625,0,80.57097,0,0 / 0,2532,2018-08-07 18:41:45:177
0.3642,0.0981,10.6428,-1.1338,0.8376,9.7048,0.3376,-1.2624,4.2271,-0.0854,-0.5901,-0.5913,120,36.99,10.39,-20.49,289.97,-5.42,7.96,2,64.326,12.925905,77.6864,0,2907.03340894625,0,80.57097,0,0 / 0,3032,2018-08-07 18:41:45:677
-2.431,-2.5954,15.3175,-1.1295,-0.2531,9.7381,-1.3747,-0.1605,1.5669,-0.2932,-0.4985,1.0823,120,40.5,4.47,-24.46,274.91,1.48,6.62,2,68.603,12.925905,77.6864,0,2907.03340894625,0,80.57097,0,0 / 0,3533,2018-08-07 18:41:46:178
1.3698,-0.4813,10.8308,-0.7213,1.3286,9.6894,3.1486,-1.4025,1.0287,-0.1429,-0.8074,-0.6669,120,41.21,-14.96,-22.75,254.17,-8.39,6.19,2,63.766,12.925905,77.6864,0,2907.03340894625,0,80.57097,0,0 / 0,4032,2018-08-07 18:41:46:677
-2.0096,0.3016,9.7713,-0.1447,0.052,9.8054,-1.8145,0.2581,-0.2776,-0.1653,0.2461,0.1235,225,43.71,0.03,-27.21,270.24,-0.4,-0.17,2,65.208,12.925905,77.6864,0,2907.03340894625,0,80.57097,0,0 / 0,4533,2018-08-07 18:41:47:178
-0.3121,0.8092,7.6225,-1.594,0.0021,9.6762,2.0402,0.141,-2.006,-0.3954,0.751,0.8117,225,39.41,-24.36,-14.93,236.98,-0.61,7.83,2,67.232,12.925905,77.6864,0,2907.03340894625,0,80.57097,0,0 / 0,5032,2018-08-07 18:41:47:677
-0.3863,3.0585,8.7334,-0.8023,1.0519,9.717,-1.1587,1.0419,-0.3269,1.2387,0.996,2.7164,120,20.48,-38.55,-13.61,206.79,-2.87,2.81,2,66.425,12.925905,77.6864,0,2907.03340894625,0,80.57097,0,0 / 0,5532,2018-08-07 18:41:48:177
-1.5703,-0.6992,6.8528,0.0058,2.2094,9.5545,-2.485,-3.9355,-1.0703,0.1489,0.1651,1.4583,120,-36.97,-21.5,-8.24,116.77,-13.03,0.12,2,68.362,12.925905,77.6864,0,2907.03340894625,0,80.57097,0,0 / 0,6033,2018-08-07 18:41:48:678
-2.4346,1.1947,9.7187,0.2379,3.4876,9.1624,-1.3399,-2.1787,1.1503,0.8083,0.0906,0.556,120,-41.89,-7.41,-9.73,94.65,-17.44,-1.28,2,58.475,12.925905,77.6864,0,2907.03340894625,0,80.57097,0,0 / 0,6532,2018-08-07 18:41:49:177
1.0574,4.0677,8.9824,-0.3667,3.9674,8.9608,0.689,-3.662,0.7848,0.3204,-0.1086,-2.5801,120,-37.1,-20.36,-5.56,113.88,-23.86,2.34,2,66.147,12.925905,77.6864,0,2907.03340894625,0,80.57097,0,0 / 0,7032,2018-08-07 18:41:49:677
-3.0176,-0.1748,15.4504,-1.3434,1.4095,9.6114,-3.1109,-1.0481,3.7566,-0.7246,0.4155,-1.8014,120,-3.43,-41.76,-7.92,174.51,-10.53,6.11,2,63.772,12.925905,77.6864,0,2907.03340894625,0,80.57097,0,0 / 0,7532,2018-08-07 18:41:50:177
-3.4425,-1.6197,10.4549,-0.5162,0.379,9.7857,-2.9729,-0.3144,0.0597,-0.3208,-0.3441,-0.0725,120,27.06,-30.88,-12.33,220.84,-2.21,3.02,2,65.894,12.925905,77.6864,0,2907.03340894625,0,80.57097,0,0 / 0,8034,2018-08-07 18:41:50:679
-0.1433,0.055,11.2689,-0.4145,-0.5449,9.7827,0.1346,1.0605,-1.6341,-0.1792,0.1183,-0.5082,120,32.1,-20.41,-15.41,236.5,2.83,2.23,2,39.417,12.925905,77.6864,0,2907.03340894625,0,80.57097,0,0 / 0,8532,2018-08-07 18:41:51:177
-2.182,0.6069,7.0383,-0.3922,1.0971,9.7372,-1.0792,-0.834,-1.7003,0.8009,-0.9161,-0.3399,120,33.77,-18.38,-13.32,244.05,-6.42,2.31,2,66.313,12.925905,77.6864,0,2907.03340894625,0,80.57097,0,0 / 0,9032,2018-08-07 18:41:51:677
0.3618,0.3651,8.0966,-0.3173,0.3435,9.7955,1.1432,-0.2646,-1.9656,0.0094,-0.1001,-0.2493,120,29.08,-21,-14.52,234.3,-2.02,2.17,2,65.785,12.925905,77.6864,0,2907.03340894625,0,80.57097,0,0 / 0,9532,2018-08-07 18:41:52:177
-1.1704,0.7888,6.927,-0.3019,-0.1898,9.8002,-1.4314,0.6669,-1.9924,-0.1898,-0.098,-0.5444,120,34.72,-9.1,-14.92,255.07,0.7,1.86,2,63.447,12.925905,77.6864,0,2907.03340894625,0,80.57097,0,0 / 0,10032,2018-08-07 18:41:52:677
-2.9805,4.0078,8.9872,-0.6003,0.7306,9.761,-0.7118,-0.6035,-1.1843,0.5058,-0.2503,-0.1396,120,35.35,-5.84,-13.98,262.01,-4.27,3.52,2,66.178,12.925905,77.6864,0,2907.03340894625,0,80.57097,0,0 / 0,10532,2018-08-07 18:41:53:177
-0.5922,0.3782,9.8719,-0.4431,1.649,9.6568,-0.0216,-1.5513,1.3115,0.64,0.0171,-0.6115,120,35.72,1.33,-14.74,275.52,-8.47,2.36,2,65.372,12.925905,77.6864,0,2907.03340894625,0,80.57097,0,0 / 0,11032,2018-08-07 18:41:53:677
-2.3723,0.2621,8.9776,-0.5763,1.2241,9.7129,-0.7588,-1.1905,2.3177,-0.0151,0.2514,0.1661,120,35.49,6.15,-17.01,283.73,-7.33,2.81,2,64.707,12.925905,77.6864,0,2907.03340894625,0,80.57097,0,0 / 0,11532,2018-08-07 18:41:54:177
-0.3181,0.5123,11.7705,0.0639,1.5145,9.6888,-0.6589,-0.4615,0.3298,-0.1366,-0.1779,-0.489,80,32.7,8.61,-19.31,289.81,-9.24,-0.22,2,57.731,12.925905,77.6864,0,2907.03340894625,0,80.57097,0,0 / 0,12032,2018-08-07 18:41:54:677
-0.3444,1.9249,10.4537,-0.3716,1.3788,9.7021,0.2327,0.6525,0.1078,-0.1131,0.0288,0.0607,120,33.24,8.57,-17.84,289.79,-8.08,2.19,2,53.276,12.925905,77.6864,0,2907.03340894625,0,80.57097,0,0 / 0,12532,2018-08-07 18:41:55:177
-0.7227,1.373,9.3368,-0.2846,0.9894,9.7525,-0.2233,0.3391,-1.8271,-0.0652,-0.0831,-0.1066,80,34.11,7.99,-18.74,286.7,-5.89,1.81,2,60.877,12.925905,77.6864,0,2907.03340894625,0,80.57097,0,0 / 0,13032,2018-08-07 18:41:55:677
-0.2894,1.2066,7.5148,-0.2124,0.6822,9.7806,0.1444,0.534,-2.4472,-0.0812,0.3409,-0.2802,80,32.59,11,-19.56,290.87,-3.99,1.24,2,58.277,12.925905,77.6864,0,2907.03340894625,0,80.57097,0,0 / 0,13532,2018-08-07 18:41:56:177
0.5893,0.1568,8.1313,0.1174,0.2545,9.8026,-0.1104,0.0907,-0.659,0.0744,-0.261,-0.244,120,32.49,13.7,-20.4,294.27,-1.3,-0.12,2,57.155,12.925905,77.6864,0,2907.03340894625,0,80.57097,0,0 / 0,14033,2018-08-07 18:41:56:678
0.9772,-0.5244,8.8651,0.512,-0.0426,9.7932,0.7955,-0.1027,-0.2977,0.1191,0.3654,-0.2653,120,30.16,18.77,-19.11,300.65,1.36,-4.49,2,60.231,12.925905,77.6864,0,2907.03340894625,0,80.57097,0,0 / 0,14532,2018-08-07 18:41:57:177
0.0901,-0.7375,13.0957,0.4839,-0.3481,9.7885,-0.034,-0.3509,2.788,-0.1728,-0.5433,0.2695,80,29.53,20.5,-16.13,303.65,2.03,-2.83,2,61.645,12.925905,77.6864,0,2907.03340894625,0,80.57097,0,0 / 0,15032,2018-08-07 18:41:57:677
